subjID,gain,loss,play,RT
1,9,10.125,0,1.054445303
1,5,5.625,1,0.776972346
1,8,4,1,2.346439003
1,5,10,0,0.862719227
1,4,3,1,1.085466046
1,6,2.25,1,0.955739863
1,8,10,0,0.803862448
1,10,13.75,0,0.832528832
1,10,6.25,1,0.985942259
1,5,1.875,1,1.067356283
1,10,20,0,0.824800753
1,4,7.5,0,0.891231083
1,12,22.5,0,1.042879299
1,8,3,1,0.984149002
1,4,2.5,1,1.287874773
1,8,12,0,0.92130692
1,10,10,1,1.084749745
1,9,16.875,0,1.083549765
1,9,4.5,1,0.933897004
1,4,1.5,1,1.211972773
1,10,7.5,1,1.213685227
1,9,6.75,1,1.037062129
1,8,2,1,1.011009688
1,4,2,1,0.807056695
1,5,6.25,0,1.045801135
1,10,8.75,1,0.868192236
1,10,11.25,0,0.95903941
1,6,8.25,0,1.145696677
1,8,11,0,0.913457427
1,8,8,1,1.099340962
1,8,9,0,0.966640481
1,2,4,0,0.948112033
1,4,4,1,1.047657019
1,6,7.5,0,1.165960894
1,5,3.125,0,2.066734887
1,4,6,0,1.727790929
1,4,5.5,0,1.391763769
1,2,0.5,1,1.369842217
1,5,4.375,1,1.381154413
1,9,13.5,0,1.557486405
1,5,1.25,1,0.97396295
1,4,8,0,0.946263814
1,12,9,1,1.481486999
1,6,6.75,0,1.858270564
1,2,0.75,1,0.818102859
1,9,12.375,0,1.083876302
1,2,3.25,0,1.059805509
1,6,6,1,1.136066354
1,2,3.75,0,0.988177508
1,12,3,1,1.976785131
1,10,2.5,1,1.735074818
1,10,17.5,0,2.39734925
2,5,1.25,1,1.58713982
2,10,15,1,1.669838886
2,12,21,0,1.931846945
2,5,1.875,1,1.370824037
2,2,2.5,0,1.254161824
2,4,6.5,0,1.372151644
2,2,1,0,1.552137334
2,6,2.25,1,1.539201279
2,10,11.25,0,1.252584271
2,4,4,0,1.205335783
2,9,12.375,0,1.288552702
2,4,1.5,1,1.185341946
2,10,5,1,1.084882826
2,2,1.5,0,1.120812977
2,4,4.5,0,1.596010594
2,5,2.5,0,1.396208329
2,8,16,0,1.301936826
2,5,8.75,0,1.591980483
2,2,1.75,0,1.422527256
2,9,7.875,0,1.077547314
2,5,7.5,0,1.062100429
2,8,14,0,0.953100674
2,8,9,0,1.302594266
